site_id,cta_sites,incident_date,week_day,incident,incident_category,week_code,weekend,holiday,incident_time,incident_time,time_category,time_code,atm,restaurant,avgtemp,maxtemp,totalsnow,sunhour,sunset,sunrise,moonrise,moonset,Temperature,weather_description,Humidity,cloudcover,heatindex,hours_after_sunrise,hours_to_sunset
14,Blue Line Belmont Station,1/31/2020,Friday,1,Disturbance ,1,0,0,3:37,3,late_night,1,0,0,32,34,0.12,5,18:04,8:04,11:34,No moonset,32,Overcast,76,100,32,-4.45,14.45
5,61st Street Lower Yard,1/1/2020,Wednesday,0,none,2,0,1,2:00,2,late_night,1,0,0,34,39,0,8.7,17:30,8:18,12:21,23:58,28,Partly cloudy,82,30,28,-6.3,15.5
12,Blue Line Addison Station,1/1/2020,Wednesday,0,none,2,0,1,3:00,3,late_night,1,0,0,34,39,0,8.7,17:30,8:18,12:21,23:58,28,Partly cloudy,83,28,28,-5.3,14.5
143,Skokie Rail Yard,1/2/2020,Thursday,1,Accident,3,0,0,3:00,3,late_night,1,0,0,41,45,0,5.2,17:31,8:18,12:45,No moonset,43,Partly cloudy,76,74,43,-5.3,14.52
15,Blue Line Californa Station,1/2/2020,Thursday,0,none,3,0,0,22:00,22,night,2,1,1,41,45,0,5.2,17:31,8:18,12:45,No moonset,43,Partly cloudy,90,64,43,13.7,-4.48
27,Blue Line Montrose Station,1/2/2020,Thursday,0,none,3,0,0,23:00,23,night,2,0,0,41,45,0,5.2,17:31,8:18,12:45,No moonset,43,Cloudy,91,63,43,14.7,-5.48
129,Red Line Jackson Station,1/3/2020,Friday,1,Emergency,1,0,0,23:00,23,night,2,2,9,37,37,0,3.4,17:32,8:18,13:08,0:57,39,Partly cloudy,93,62,39,14.7,-5.47
133,Red Line Monroe Station,1/3/2020,Friday,1,Theft,1,0,0,1:00,1,late_night,1,5,5,37,37,0,3.4,17:32,8:18,13:08,0:57,36,Overcast,74,100,36,-7.3,16.53
11,Blue Line Rosemont Station,1/3/2020,Friday,0,none,1,0,0,4:00,4,early_morning,3,0,0,37,37,0,3.4,17:32,8:18,13:08,0:57,39,Partly cloudy,92,65,39,-4.3,13.53
33,Blue Line Washington Station,1/3/2020,Friday,0,none,1,0,0,16:00,16,evening,4,0,0,37,37,0,3.4,17:32,8:18,13:08,0:57,37,Overcast,72,100,37,7.7,1.53
35,Blues Western (O'Hare) Station,1/4/2020,Saturday,0,none,4,1,0,8:00,8,morning,5,2,15,34,34,0.2,3.4,17:33,8:18,13:33,1:56,32,Heavy snow,81,93,32,-0.3,9.55
36,Brown Line Addison Station,1/4/2020,Saturday,0,none,4,1,0,9:00,9,morning,5,3,2,34,34,0.2,3.4,17:33,8:18,13:33,1:56,32,Heavy snow,78,96,32,0.7,8.55
37,Brown Line Damen Station,1/4/2020,Saturday,0,none,4,1,0,17:00,17,evening,4,2,2,34,34,0.2,3.4,17:33,8:18,13:33,1:56,34,Overcast,68,66,34,8.7,0.55
53,Clark/Lake Station (Brown Pink Orange Purple & Green),1/5/2020,Sunday,1,Assault,5,1,0,17:00,17,evening,4,2,2,36,39,0,3.4,17:34,8:18,13:59,2:56,39,Cloudy,73,95,39,8.7,0.57
81,Orange Line 35th/Archer Station,1/5/2020,Sunday,1,General,5,1,0,19:00,19,evening,4,1,1,36,39,0,3.4,17:34,8:18,13:59,2:56,36,Overcast,69,83,36,10.7,-1.43
145,South Shop Bravo-Bone Yard,1/5/2020,Sunday,1,Unsecure element,5,1,0,20:00,20,night,2,0,0,36,39,0,3.4,17:34,8:18,13:59,2:56,30,Partly cloudy,75,35,30,11.7,-2.43
38,Brown Line Francisco Station,1/5/2020,Sunday,0,none,5,1,0,5:00,5,early_morning,3,0,2,36,39,0,3.4,17:34,8:18,13:59,2:56,30,Partly cloudy,76,23,30,-3.3,12.57
39,Brown Line Irving Park Station,1/5/2020,Sunday,0,none,5,1,0,10:00,10,morning,5,1,3,36,39,0,3.4,17:34,8:18,13:59,2:56,34,Partly cloudy,70,76,34,1.7,7.57
30,Blue Line Pulaski Station,1/6/2020,Monday,1,Disturbance ,6,0,0,10:00,10,morning,5,0,0,34,37,0,6.9,17:35,8:18,14:28,3:59,36,Partly cloudy,56,84,36,1.7,7.58
40,Brown Line Kedzie Station,1/6/2020,Monday,0,none,6,0,0,18:00,18,evening,4,0,4,34,37,0,6.9,17:35,8:18,14:28,3:59,36,Overcast,58,100,36,9.7,-0.42
43,Brown Line Paulina Station,1/6/2020,Monday,0,none,6,0,0,6:00,6,early_morning,3,0,1,34,37,0,6.9,17:35,8:18,14:28,3:59,30,Partly cloudy,66,14,30,-2.3,11.58
53,Clark/Lake Station (Brown Pink Orange Purple & Green),1/7/2020,Tuesday,1,General,7,0,0,6:00,6,early_morning,3,2,2,36,37,0,6.9,17:36,8:18,15:04,5:03,36,Cloudy,63,41,36,-2.3,11.6
125,Red Line Garfield Station,1/7/2020,Tuesday,1,Disturbance ,7,0,0,11:00,11,morning,5,0,0,36,37,0,6.9,17:36,8:18,15:04,5:03,36,Cloudy,66,32,36,2.7,6.6
144,South Shop Alpha,1/7/2020,Tuesday,1,Emergency,7,0,0,14:00,14,afternoon,6,0,0,36,37,0,6.9,17:36,8:18,15:04,5:03,36,Partly cloudy,52,80,36,5.7,3.6
44,Brown Line Rockwell Station,1/7/2020,Tuesday,0,none,7,0,0,0:00,0,late_night,1,1,2,36,37,0,6.9,17:36,8:18,15:04,5:03,34,Overcast,53,55,36,-8.3,17.6
45,Brown Line Southport Station,1/7/2020,Tuesday,0,none,7,0,0,2:00,2,late_night,1,1,3,36,37,0,6.9,17:36,8:18,15:04,5:03,34,Partly cloudy,50,69,34,-6.3,15.6
29,Blue Line O'Hare Station,1/8/2020,Wednesday,1,General,2,0,0,17:39,17,evening,4,0,5,21,23,0,8.7,17:37,8:18,15:46,6:08,21,Partly cloudy,46,20,23,9.35,-0.03
29,Blue Line O'Hare Station,1/8/2020,Wednesday,1,Emergency,2,0,0,15:07,15,afternoon,6,0,5,21,23,0,8.7,17:37,8:18,15:46,6:08,23,Partly cloudy,40,12,23,6.82,2.5
53,Clark/Lake Station (Brown Pink Orange Purple & Green),1/8/2020,Wednesday,1,Tresspass,2,0,0,7:05,7,early_morning,3,2,2,21,23,0,8.7,17:37,8:18,15:46,6:08,23,Partly cloudy,50,6,23,-1.22,10.53
53,Clark/Lake Station (Brown Pink Orange Purple & Green),1/8/2020,Wednesday,1,Tresspass,2,0,0,8:10,8,morning,5,2,2,21,23,0,8.7,17:37,8:18,15:46,6:08,21,Partly cloudy,49,6,21,-0.13,9.45
115,Red Line 69th Street Station,1/8/2020,Wednesday,1,Disturbance ,2,0,0,7:28,7,early_morning,3,0,0,21,23,0,8.7,17:37,8:18,15:46,6:08,23,Partly cloudy,50,6,23,-0.83,10.15
116,Red Line 79th Street Station,1/8/2020,Wednesday,1,Access Control,2,0,0,10:25,10,morning,5,0,0,21,23,0,8.7,17:37,8:18,15:46,6:08,21,Partly cloudy,46,7,21,2.12,7.2
116,Red Line 79th Street Station,1/8/2020,Wednesday,1,Access Control,2,0,0,13:13,13,afternoon,6,0,0,21,23,0,8.7,17:37,8:18,15:46,6:08,21,Partly cloudy,41,10,21,4.92,4.4
117,Red Line 87th Street Station,1/8/2020,Wednesday,1,Disturbance ,2,0,0,12:13,12,afternoon,6,0,0,21,23,0,8.7,17:37,8:18,15:46,6:08,21,Partly cloudy,41,9,21,3.92,5.4
125,Red Line Garfield Station,1/8/2020,Wednesday,1,Disturbance ,2,0,0,15:30,15,afternoon,6,0,0,21,23,0,8.7,17:37,8:18,15:46,6:08,23,Partly cloudy,40,12,23,7.2,2.12
131,Red Line Lawrence Station,1/8/2020,Wednesday,1,Disturbance ,2,0,0,7:42,7,early_morning,3,0,1,21,23,0,8.7,17:37,8:18,15:46,6:08,23,Partly cloudy,50,6,23,-0.6,9.92
