site_id,cta_sites,incident_date,week_day,incident,incident_category,week_code,weekend,holiday,incident_time,incident_time,time_category,time_code,atm,restaurant,avgtemp,maxtemp,totalsnow,sunhour,sunset,sunrise,moonrise,moonset,Temperature,weather_description,Humidity,cloudcover,heatindex,hours_after_sunrise,hours_to_sunset
6,63rd Street Lower Rail Yard,3/1/2020,Sunday,1,General,5,1,0,7:27,7,early_morning,3,0,0,39,45,0,8.6,18:41,7:25,10:56,0:34,34,Partly cloudy,75,44,34,0.03,11.23
6,63rd Street Lower Rail Yard,3/1/2020,Sunday,1,Motor Vehicle Vandalism,5,1,0,7:53,7,early_morning,3,0,0,39,45,0,8.6,18:41,7:25,10:56,0:34,34,Partly cloudy,75,44,34,0.47,10.8
6,63rd Street Lower Rail Yard,3/1/2020,Sunday,1,General,5,1,0,15:05,15,afternoon,6,0,0,39,45,0,8.6,18:41,7:25,10:56,0:34,43,Partly cloudy,82,75,43,7.67,3.6
30,Blue Line Pulaski Station,3/1/2020,Sunday,1,Assault,5,1,0,10:34,10,morning,5,0,0,39,45,0,8.6,18:41,7:25,10:56,0:34,37,Partly cloudy,77,46,37,3.15,8.12
53,Clark/Lake Station (Brown Pink Orange Purple & Green),3/1/2020,Sunday,1,Disturbance ,5,1,0,15:45,15,afternoon,6,2,2,39,45,0,8.6,18:41,7:25,10:56,0:34,43,Partly cloudy,82,75,43,8.33,2.93
106,Purple Line Foster Station,3/1/2020,Sunday,0,none,5,1,0,3:00,3,late_night,1,0,1,39,45,0,8.6,18:41,7:25,10:56,0:34,32,Partly cloudy,66,36,32,-4.42,15.68
108,Purple Line Main Station,3/1/2020,Sunday,0,none,5,1,0,7:00,7,early_morning,3,0,0,39,45,0,8.6,18:41,7:25,10:56,0:34,34,Partly cloudy,75,44,34,-0.42,11.68
29,Blue Line O'Hare Station,3/2/2020,Monday,1,Disturbance ,6,0,0,3:33,3,late_night,1,0,5,39,43,0,10.1,18:43,7:23,11:30,1:36,39,Light rain shower,94,100,39,-3.83,15.17
114,Red Line 63rd Street Station,3/2/2020,Monday,1,General,6,0,0,9:20,9,morning,5,0,0,39,43,0,10.1,18:43,7:23,11:30,1:36,36,Light drizzle,78,39,36,1.95,9.38
115,Red Line 69th Street Station,3/2/2020,Monday,1,General,6,0,0,9:55,9,morning,5,0,0,39,43,0,10.1,18:43,7:23,11:30,1:36,36,Light drizzle,78,39,36,2.53,8.8
122,Red Line Cermak-Chinatown,3/2/2020,Monday,1,General,6,0,0,6:28,6,early_morning,3,0,0,39,43,0,10.1,18:43,7:23,11:30,1:36,36,Light drizzle,89,92,36,-0.92,12.25
126,Red Line Grand Station,3/2/2020,Monday,1,Disturbance ,6,0,0,11:15,11,morning,5,0,6,39,43,0,10.1,18:43,7:23,11:30,1:36,37,Partly cloudy,69,21,37,3.87,7.47
